seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
1703,8,autoregressive_lead2,phi,k6_7,30,35,0.43641056339422696,0.0005656264367477117
1703,8,autoregressive_lead2,Vi,k6_7,30,35,0.46405427213776757,3.268043031534834e-05
1701,8,autoregressive_lead4,Ne,k1_3,5,15,0.11327602461797608,0.001931540381910894
1701,8,autoregressive_lead4,Pe,k1_3,5,15,0.11347899434470714,0.003816500298226992
1701,8,autoregressive_lead4,Pi,k1_3,5,15,0.09725176731072675,0.0027195193020765323
1701,8,autoregressive_lead4,phi,k1_3,5,15,0.14603338194079338,0.01208195007669897
1701,8,autoregressive_lead4,Vi,k1_3,5,15,0.07316984254375337,0.0007016099736125152
1701,8,autoregressive_lead4,Ne,k4_5,20,25,0.1421432323390691,0.0160237444952732
1701,8,autoregressive_lead4,Pe,k4_5,20,25,0.09636111074856904,0.010665269471545504
1701,8,autoregressive_lead4,Pi,k4_5,20,25,0.10404416603592101,0.01721692461755407
1701,8,autoregressive_lead4,phi,k4_5,20,25,0.1406589641964964,0.007599332361153825
1701,8,autoregressive_lead4,Vi,k4_5,20,25,0.126074299990466,0.0005188029858979023
1701,8,autoregressive_lead4,Ne,k6_7,30,35,0.11642813918945201,0.0005689354393731681
1701,8,autoregressive_lead4,Pe,k6_7,30,35,0.08305410976173888,0.00020017350465002207
1701,8,autoregressive_lead4,Pi,k6_7,30,35,0.0848793458198307,0.0002066728760188431
1701,8,autoregressive_lead4,phi,k6_7,30,35,0.1670931223405795,0.0004760295016033791
1701,8,autoregressive_lead4,Vi,k6_7,30,35,0.12886928498046887,5.5752281245661835e-05
1702,8,autoregressive_lead4,Ne,k1_3,5,15,0.1139522996023516,0.000461391550276258
1702,8,autoregressive_lead4,Pe,k1_3,5,15,0.11669335960867282,0.0042278212080379025
1702,8,autoregressive_lead4,Pi,k1_3,5,15,0.08555779160067321,0.004452557551731217
1702,8,autoregressive_lead4,phi,k1_3,5,15,0.1478684921237184,0.012311860713156299
1702,8,autoregressive_lead4,Vi,k1_3,5,15,0.06257492681660827,0.001420402655373355
1702,8,autoregressive_lead4,Ne,k4_5,20,25,0.10568852962958976,0.005933116344802818
1702,8,autoregressive_lead4,Pe,k4_5,20,25,0.08003745191461355,0.0031400007983618124
1702,8,autoregressive_lead4,Pi,k4_5,20,25,0.0716317901588535,0.007310963163782728
1702,8,autoregressive_lead4,phi,k4_5,20,25,0.11711949959129989,0.002353001129557418
1702,8,autoregressive_lead4,Vi,k4_5,20,25,0.12018529321733026,7.20175583594366e-05
1702,8,autoregressive_lead4,Ne,k6_7,30,35,0.12730588368169193,0.00041395939649196566
1702,8,autoregressive_lead4,Pe,k6_7,30,35,0.0909540411602207,0.00010010263097315714
1702,8,autoregressive_lead4,Pi,k6_7,30,35,0.07609432006995968,0.00018588249885955363
1702,8,autoregressive_lead4,phi,k6_7,30,35,0.15362232661640474,0.0004058915246628865
1702,8,autoregressive_lead4,Vi,k6_7,30,35,0.11937352154454847,7.597705390187395e-05
1703,8,autoregressive_lead4,Ne,k1_3,5,15,0.12255940712376465,0.0018762805309787242
1703,8,autoregressive_lead4,Pe,k1_3,5,15,0.12409949790617938,0.0015356659594230227
1703,8,autoregressive_lead4,Pi,k1_3,5,15,0.10288012592225289,0.002637411134733164
1703,8,autoregressive_lead4,phi,k1_3,5,15,0.1457446990880476,0.014706067066286226
1703,8,autoregressive_lead4,Vi,k1_3,5,15,0.06580687543643983,0.0011157810877935907
1703,8,autoregressive_lead4,Ne,k4_5,20,25,0.15627375285720507,0.005706702508709156
1703,8,autoregressive_lead4,Pe,k4_5,20,25,0.10927835971247633,0.007484095006138978
1703,8,autoregressive_lead4,Pi,k4_5,20,25,0.12155318407065178,0.010092943306621933
1703,8,autoregressive_lead4,phi,k4_5,20,25,0.1428406834612062,0.00606951200569865
1703,8,autoregressive_lead4,Vi,k4_5,20,25,0.11939092016212549,0.0004911128911970517
1703,8,autoregressive_lead4,Ne,k6_7,30,35,0.13790371562807927,2.579931162101026e-05
